,fullname,team,birthdate,country,height,weight,birthplace,one_day_race_pts,gc_pts,tt_pts,sprint_pts,climb_pts,pcs_ranking,uci_ranking,number_wins,pts_pcs_2023,rank_pcs_2023,pts_pcs_2022,rank_pcs_2022,pts_pcs_2021,rank_pcs_2021,pts_pcs_2020,rank_pcs_2020,pts_pcs_2019,rank_pcs_2019,rider_code,rider_url
117,Lorenzo  Germani ,Groupama - FDJ,03/03/2002,Italy,1.79,62,Sora,22,23,13,6,50,904,732,0,23,316,12,1381,20,1038,0,0,0,0,lorenzo-germani,https://www.procyclingstats.com/rider/lorenzo-germani
118,Elia  Viviani ,INEOS Grenadiers,07/02/1989,Italy,1.78,67,Isola della Scala,4644,948,160,7571,1893,278,377,87,13,466,295,207,707,54,356,99,1928,6,elia-viviani,https://www.procyclingstats.com/rider/elia-viviani
119,Michał  Kwiatkowski ,INEOS Grenadiers,02/06/1990,Poland,1.76,68,Chełmża,4529,3374,3402,744,4897,222,145,29,22,327,273,220,550,85,632,48,635,85,michal-kwiatkowski,https://www.procyclingstats.com/rider/michal-kwiatkowski
120,Geraint  Thomas ,INEOS Grenadiers,25/05/1986,Great Britain,1.83,71,Cardiff,1236,5753,4757,909,5064,35,35,25,5,666,985,31,805,46,398,84,865,52,geraint-thomas,https://www.procyclingstats.com/rider/geraint-thomas
121,Egan  Bernal ,INEOS Grenadiers,13/01/1997,Colombia,1.75,60,Bogotá,892,3483,510,118,3695,1695,2108,19,7,592,0,0,1525,8,416,77,1991,5,egan-bernal,https://www.procyclingstats.com/rider/egan-bernal
122,Ben  Swift ,INEOS Grenadiers,05/11/1987,Great Britain,1.79,69,Rotherham,1843,872,87,2754,1640,413,866,15,18,381,112,425,108,439,236,144,209,306,ben-swift,https://www.procyclingstats.com/rider/ben-swift
123,Jonathan  Castroviejo ,INEOS Grenadiers,27/04/1987,Spain,1.71,62,Getxo,253,1750,4365,94,1014,421,688,10,1,871,120,402,163,323,133,256,162,391,jonathan-castroviejo,https://www.procyclingstats.com/rider/jonathan-castroviejo
124,Daniel Felipe  Martínez ,INEOS Grenadiers,25/04/1996,Colombia,1.72,63,Soacha,691,2380,961,34,2115,13,12,12,171,40,1279,14,325,162,664,41,572,99,daniel-felipe-martinez,https://www.procyclingstats.com/rider/daniel-felipe-martinez
125,Tao  Geoghegan Hart ,INEOS Grenadiers,30/03/1995,Great Britain,1.83,65,London,261,2087,585,100,2048,93,142,6,187,33,377,157,208,252,799,23,562,101,tao-geoghegan-hart,https://www.procyclingstats.com/rider/tao-geoghegan-hart
126,Filippo  Ganna ,INEOS Grenadiers,25/07/1996,Italy,1.93,83,Verbania,158,518,3858,78,456,70,75,22,280,10,482,111,686,60,797,24,390,162,filippo-ganna,https://www.procyclingstats.com/rider/filippo-ganna
127,Pavel  Sivakov ,INEOS Grenadiers,11/07/1997,France,1.88,70,San Donà di Piave,425,1699,412,39,1441,74,84,4,76,130,583,76,327,161,416,76,808,60,pavel-sivakov,https://www.procyclingstats.com/rider/pavel-sivakov
128,Ethan  Hayter ,INEOS Grenadiers,18/09/1998,Great Britain,1.8,69,London,580,959,915,264,1254,42,52,16,34,240,1007,26,1029,26,245,141,99,600,ethan-hayter,https://www.procyclingstats.com/rider/ethan-hayter
129,Luke  Rowe ,INEOS Grenadiers,10/03/1990,Great Britain,1.85,72,Cardiff,1159,456,142,600,328,669,0,2,5,738,55,684,44,734,101,321,265,246,luke-rowe,https://www.procyclingstats.com/rider/luke-rowe
130,Omar  Fraile ,INEOS Grenadiers,17/07/1990,Spain,1.84,72,Santurtzi,358,595,169,185,1418,337,385,8,30,260,134,370,161,328,192,175,178,356,omar-fraile,https://www.procyclingstats.com/rider/omar-fraile
131,Thomas  Pidcock ,INEOS Grenadiers,30/07/1999,Great Britain,1.7,58,Leeds,1305,405,51,134,1209,26,65,4,391,4,718,58,695,58,57,485,117,519,thomas-pidcock,https://www.procyclingstats.com/rider/thomas-pidcock
132,Carlos  Rodríguez ,INEOS Grenadiers,02/02/2001,Spain,1.83,67,Almuñécar,343,836,184,12,964,45,34,2,149,60,1006,27,243,226,15,1016,0,0,carlos-rodriguez-cano,https://www.procyclingstats.com/rider/carlos-rodriguez-cano
133,Jhonatan  Narváez ,INEOS Grenadiers,04/03/1997,Ecuador,1.74,65,Playón de San Francisco,566,512,23,256,668,214,122,4,33,246,346,175,88,489,311,118,129,469,jhonatan-narvaez,https://www.procyclingstats.com/rider/jhonatan-narvaez
134,Thymen  Arensman ,INEOS Grenadiers,04/12/1999,Netherlands,1.92,68,Deil,32,854,621,18,962,30,41,2,23,315,1053,25,169,311,80,382,0,0,thymen-arensman,https://www.procyclingstats.com/rider/thymen-arensman
135,Laurens De Plus ,INEOS Grenadiers,04/09/1995,Belgium,1.89,67,Aalst,191,784,277,20,750,695,1160,1,16,407,41,823,27,930,5,1363,616,86,laurens-de-plus,https://www.procyclingstats.com/rider/laurens-de-plus
136,Salvatore  Puccio ,INEOS Grenadiers,31/08/1989,Italy,1.82,68,Menfi,377,502,83,102,488,909,0,0,0,0,35,896,50,688,85,364,87,667,salvatore-puccio,https://www.procyclingstats.com/rider/salvatore-puccio
137,Connor  Swift ,INEOS Grenadiers,30/10/1995,Great Britain,1.9,75,Thorne,574,463,189,181,341,310,325,3,14,445,260,235,526,91,57,482,120,508,connor-swift,https://www.procyclingstats.com/rider/connor-swift
138,Magnus  Sheffield ,INEOS Grenadiers,19/04/2002,United States,1.83,74,Pittsford,217,377,387,33,250,63,62,3,192,31,566,83,3,1878,0,0,0,0,magnus-sheffield,https://www.procyclingstats.com/rider/magnus-sheffield
139,Cameron  Wurf ,INEOS Grenadiers,03/08/1983,Australia,1.71,71,Sandy Bay,49,564,306,129,48,1408,2963,0,8,574,5,1814,5,1723,25,808,0,0,cameron-wurf,https://www.procyclingstats.com/rider/cameron-wurf
140,Ben  Tulett ,INEOS Grenadiers,26/08/2001,Great Britain,1.69,56,Sevenoaks,197,347,346,6,338,151,186,1,44,202,348,173,200,266,42,589,0,0,ben-tulett,https://www.procyclingstats.com/rider/ben-tulett
141,Luke  Plapp ,INEOS Grenadiers,25/12/2000,Australia,1.81,72,Melbourne,52,440,141,18,276,99,77,3,256,13,340,178,29,913,0,0,0,0,luke-plapp,https://www.procyclingstats.com/rider/luke-plapp
142,Ben  Turner ,INEOS Grenadiers,28/05/1999,Great Britain,1.94,74,Doncaster,339,94,54,68,198,124,96,1,132,73,338,180,14,1247,0,0,0,0,ben-turner,https://www.procyclingstats.com/rider/ben-turner
143,Brandon Smith  Rivera ,INEOS Grenadiers,21/03/1996,Colombia,1.7,60,Zipaquirá,19,105,120,20,54,412,469,1,81,122,44,787,5,1683,19,907,31,1103,brandon-smith-rivera-vargas,https://www.procyclingstats.com/rider/brandon-smith-rivera-vargas
144,Leo  Hayter ,INEOS Grenadiers,10/08/2001,Great Britain,1.78,66,London,30,44,54,0,84,648,421,0,10,508,72,590,20,1044,5,1331,0,0,leo-hayter,https://www.procyclingstats.com/rider/leo-hayter
145,Kim  Heiduk ,INEOS Grenadiers,03/03/2000,Germany,1.84,70,Herrenberg,24,57,31,87,28,843,1318,0,30,263,11,1440,62,611,0,0,0,0,kim-heiduk,https://www.procyclingstats.com/rider/kim-heiduk
146,Joshua  Tarling ,INEOS Grenadiers,15/02/2004,Great Britain,1.94,88,Aberaeron,0,5,50,0,5,1188,1993,0,20,358,0,0,0,0,0,0,0,0,joshua-tarling,https://www.procyclingstats.com/rider/joshua-tarling
147,Michael  Leonard ,INEOS Grenadiers,26/03/2004,Canada,1.7,60,Oakville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,michael-leonard1,https://www.procyclingstats.com/rider/michael-leonard1
148,Rui  Costa ,Intermarché - Circus - Wanty,05/10/1986,Portugal,1.87,75,Póvoa de Varzim,3952,6151,1575,582,6846,76,88,30,557,1,212,269,312,172,430,72,798,62,rui-costa,https://www.procyclingstats.com/rider/rui-costa
149,Rein  Taaramäe ,Intermarché - Circus - Wanty,24/04/1987,Estonia,1.86,68,Tartu,730,2887,1466,554,2334,255,306,20,113,92,197,286,258,208,0,0,282,222,rein-taaramae,https://www.procyclingstats.com/rider/rein-taaramae
150,Louis  Meintjes ,Intermarché - Circus - Wanty,21/02/1992,South Africa,1.73,58,Pretoria,584,2752,345,100,3148,44,56,6,22,326,909,40,292,183,167,205,94,630,louis-meintjes,https://www.procyclingstats.com/rider/louis-meintjes
151,Baptiste  Planckaert ,Intermarché - Circus - Wanty,28/09/1988,Belgium,1.77,65,Kortrijk,3161,450,9,3134,480,338,472,4,5,704,159,330,219,241,76,396,703,77,baptiste-planckaert,https://www.procyclingstats.com/rider/baptiste-planckaert
152,Mike  Teunissen ,Intermarché - Circus - Wanty,25/08/1992,Netherlands,1.84,73,Ysselsteyn,1519,1135,328,1424,894,212,242,6,72,137,256,238,473,107,198,170,1250,23,mike-teunissen,https://www.procyclingstats.com/rider/mike-teunissen
153,Niccolò  Bonifazio ,Intermarché - Circus - Wanty,29/10/1993,Italy,1.76,72,Coni,1544,405,48,2296,836,450,490,20,16,401,119,407,325,163,217,153,551,104,niccolo-bonifazio,https://www.procyclingstats.com/rider/niccolo-bonifazio
154,Lilian  Calmejane ,Intermarché - Circus - Wanty,06/12/1992,France,1.84,69,Albi,959,1178,182,350,1602,367,404,12,67,147,122,398,154,337,90,343,585,94,lilian-calmejane,https://www.procyclingstats.com/rider/lilian-calmejane
155,Adrien  Petit ,Intermarché - Circus - Wanty,26/09/1990,France,1.88,80,Arras,1809,350,360,2247,95,270,239,9,0,0,234,252,30,873,22,849,257,252,adrien-petit,https://www.procyclingstats.com/rider/adrien-petit
156,Dion  Smith ,Intermarché - Circus - Wanty,03/03/1993,New Zealand,1.79,67,Taupaki,1046,724,71,788,1192,265,264,1,65,149,184,302,139,357,365,92,228,282,dion-smith,https://www.procyclingstats.com/rider/dion-smith
157,Lorenzo  Rota ,Intermarché - Circus - Wanty,23/05/1995,Italy,1.73,62,Bergamo,1184,665,12,139,1259,47,43,2,170,41,818,48,470,109,203,164,131,464,lorenzo-rota,https://www.procyclingstats.com/rider/lorenzo-rota
158,Biniam  Girmay ,Intermarché - Circus - Wanty,02/04/2000,Eritrea,1.84,70,Asmara,1520,13,90,410,871,24,16,10,125,81,1103,24,424,119,299,122,64,810,biniam-girmay,https://www.procyclingstats.com/rider/biniam-girmay
159,Loïc  Vliegen ,Intermarché - Circus - Wanty,20/12/1993,Belgium,1.84,70,Rocourt,891,711,23,466,558,229,181,3,18,373,365,162,69,576,214,156,329,193,loic-vliegen,https://www.procyclingstats.com/rider/loic-vliegen
160,Taco van der Hoorn ,Intermarché - Circus - Wanty,04/12/1993,Netherlands,1.87,73,Rotterdam,1173,192,2,954,188,188,174,7,60,160,309,195,346,150,55,494,114,529,taco-van-der-hoorn,https://www.procyclingstats.com/rider/taco-van-der-hoorn
161,Boy van Poppel ,Intermarché - Circus - Wanty,18/01/1988,Netherlands,1.86,78,Utrecht,879,357,80,1706,178,895,1763,1,10,530,26,1038,188,283,10,1101,240,268,boy-van-poppel,https://www.procyclingstats.com/rider/boy-van-poppel
162,Sven Erik  Bystrøm ,Intermarché - Circus - Wanty,21/01/1992,Norway,1.88,73,Haugesund,696,687,84,408,672,272,297,1,141,68,129,384,248,222,158,215,140,445,sven-erik-bystrom,https://www.procyclingstats.com/rider/sven-erik-bystrom
163,Aimé De Gendt ,Intermarché - Circus - Wanty,17/06/1994,Belgium,1.82,75,Denderhoutem,861,435,109,376,298,625,1316,1,0,0,73,584,203,262,323,111,392,161,aime-de-gendt,https://www.procyclingstats.com/rider/aime-de-gendt
164,Georg  Zimmermann ,Intermarché - Circus - Wanty,11/10/1997,Germany,1.81,70,Augsburg,421,374,0,56,537,167,178,1,89,113,336,181,257,210,122,286,75,742,georg-zimmermann,https://www.procyclingstats.com/rider/georg-zimmermann
165,Simone  Petilli ,Intermarché - Circus - Wanty,04/05/1993,Italy,1.78,65,Bellano,430,402,39,124,508,910,579,0,10,537,71,595,131,376,50,519,124,487,simone-petilli,https://www.procyclingstats.com/rider/simone-petilli
166,Gerben  Thijssen ,Intermarché - Circus - Wanty,21/06/1998,Belgium,1.74,74,Genk,636,31,21,1126,8,96,102,4,90,112,468,117,109,436,128,267,53,888,gerben-thijssen,https://www.procyclingstats.com/rider/gerben-thijssen
167,Kobe  Goossens ,Intermarché - Circus - Wanty,29/04/1996,Belgium,1.78,64,Leuven,323,213,23,25,255,249,218,2,198,28,139,363,72,556,75,402,51,911,kobe-goossens,https://www.procyclingstats.com/rider/kobe-goossens
168,Rune  Herregodts ,Intermarché - Circus - Wanty,27/07/1998,Belgium,1.81,70,Aalst,350,76,178,156,190,294,276,3,61,158,168,318,257,211,15,988,0,0,rune-herregodts,https://www.procyclingstats.com/rider/rune-herregodts
169,Arne  Marit ,Intermarché - Circus - Wanty,21/01/1999,Belgium,1.85,72,Galmaarden,445,8,3,375,66,468,508,1,12,471,98,468,330,159,8,1186,25,1219,arne-marit,https://www.procyclingstats.com/rider/arne-marit
170,Hugo  Page ,Intermarché - Circus - Wanty,24/07/2001,France,1.85,71,Chartres,303,81,75,112,270,139,124,0,208,23,232,253,12,1304,1,1677,0,0,hugo-page,https://www.procyclingstats.com/rider/hugo-page
171,Laurens  Huys ,Intermarché - Circus - Wanty,24/09/1998,Belgium,1.62,61,None,70,164,4,14,169,472,664,0,8,568,101,457,64,607,50,527,0,0,laurens-huys,https://www.procyclingstats.com/rider/laurens-huys
172,Julius  Johansen ,Intermarché - Circus - Wanty,13/09/1999,Denmark,1.88,75,Blovstrød,21,181,189,59,30,584,1276,0,33,247,50,725,1,2109,24,822,24,1239,julius-johansen,https://www.procyclingstats.com/rider/julius-johansen
173,Madis  Mihkels ,Intermarché - Circus - Wanty,31/05/2003,Estonia,1.84,75,Tartu,92,42,38,118,26,332,281,1,18,367,148,349,0,0,0,0,0,0,madis-mihkels,https://www.procyclingstats.com/rider/madis-mihkels
174,Laurenz  Rex ,Intermarché - Circus - Wanty,15/12/1999,Belgium,1.93,82,Marbourg,122,5,0,57,60,612,763,0,4,754,81,552,57,640,0,0,0,0,laurenz-rex,https://www.procyclingstats.com/rider/laurenz-rex
175,Tom  Paquot ,Intermarché - Circus - Wanty,22/09/1999,Belgium,1.84,70,Rocourt,109,7,1,18,56,938,1613,0,5,694,28,1005,88,490,0,0,4,2169,tom-paquot,https://www.procyclingstats.com/rider/tom-paquot
176,Dries De Pooter ,Intermarché - Circus - Wanty,08/11/2002,Belgium,1.81,66,Geel,13,0,0,34,52,1539,2038,0,0,0,10,1537,8,1494,0,0,0,0,dries-de-pooter,https://www.procyclingstats.com/rider/dries-de-pooter
177,Primož  Roglič ,Jumbo-Visma,29/10/1989,Slovenia,1.77,65,Trbovlje,1537,5794,4406,163,6447,21,23,65,0,0,1205,20,2564,3,2431,1,2818,1,primoz-roglic,https://www.procyclingstats.com/rider/primoz-roglic
178,Robert  Gesink ,Jumbo-Visma,31/05/1986,Netherlands,1.89,70,Varsseveld,2888,5127,1190,656,5810,538,640,13,0,0,95,484,55,651,74,406,210,303,robert-gesink,https://www.procyclingstats.com/rider/robert-gesink
179,Wout van Aert ,Jumbo-Visma,15/09/1994,Belgium,1.9,78,Herentals,5495,931,2116,1864,3078,3,3,39,0,0,2862,2,2813,2,1834,3,852,53,wout-van-aert,https://www.procyclingstats.com/rider/wout-van-aert
180,Wilco  Kelderman ,Jumbo-Visma,25/03/1991,Netherlands,1.85,65,Amersfoort,634,5233,2471,444,5568,133,244,4,0,0,438,133,819,44,942,15,515,116,wilco-kelderman,https://www.procyclingstats.com/rider/wilco-kelderman
181,Rohan  Dennis ,Jumbo-Visma,28/05/1990,Australia,1.82,72,Adelaide,50,2768,6250,188,1786,226,231,32,67,145,231,257,390,132,452,68,773,65,rohan-dennis,https://www.procyclingstats.com/rider/rohan-dennis
182,Tiesj  Benoot ,Jumbo-Visma,11/03/1994,Belgium,1.9,72,Ghent,3876,1760,83,842,3564,54,42,4,257,12,534,95,559,83,516,63,1047,30,tiesj-benoot,https://www.procyclingstats.com/rider/tiesj-benoot
183,Steven  Kruijswijk ,Jumbo-Visma,07/06/1987,Netherlands,1.78,63,Nuenen,339,4339,1440,278,4676,316,370,2,0,0,183,304,313,170,50,520,903,47,steven-kruijswijk,https://www.procyclingstats.com/rider/steven-kruijswijk
184,Christophe  Laporte ,Jumbo-Visma,11/12/1992,France,1.91,76,La Seyne-sur-Mer,2615,755,843,2084,1020,14,7,26,150,59,1237,16,996,27,125,275,664,79,christophe-laporte,https://www.procyclingstats.com/rider/christophe-laporte
185,Dylan van Baarle ,Jumbo-Visma,21/05/1992,Netherlands,1.87,78,Voorburg,2538,1374,1284,613,1390,41,31,7,225,20,730,57,845,40,373,89,453,135,dylan-van-baarle,https://www.procyclingstats.com/rider/dylan-van-baarle
186,Jonas  Vingegaard ,Jumbo-Visma,10/12/1996,Denmark,1.75,60,Hillerslev,320,2231,1002,128,2296,4,4,16,160,48,2039,4,1312,14,124,277,295,212,jonas-vingegaard-rasmussen,https://www.procyclingstats.com/rider/jonas-vingegaard-rasmussen
187,Jos van Emden ,Jumbo-Visma,18/02/1985,Netherlands,1.86,78,Schiedam,882,1180,3878,702,167,555,1551,13,5,700,85,524,76,538,35,660,331,192,jos-van-emden,https://www.procyclingstats.com/rider/jos-van-emden
188,Sam  Oomen ,Jumbo-Visma,15/08/1995,Netherlands,1.77,65,Tilburg,423,1763,197,96,1590,292,342,2,8,573,194,291,237,231,160,214,193,335,sam-oomen,https://www.procyclingstats.com/rider/sam-oomen
189,Sepp  Kuss ,Jumbo-Visma,13/09/1994,United States,1.8,61,Durango,164,1473,134,42,2298,157,317,7,135,72,315,189,628,68,570,53,223,290,sepp-kuss,https://www.procyclingstats.com/rider/sepp-kuss
190,Tosh Van der Sande ,Jumbo-Visma,28/11/1990,Belgium,1.78,67,Wijnegem,843,749,1,1070,1248,556,907,2,10,501,80,556,511,99,69,426,327,194,tosh-van-der-sande,https://www.procyclingstats.com/rider/tosh-van-der-sande
191,Jan  Tratnik ,Jumbo-Visma,23/02/1990,Slovenia,1.73,67,Ljubljana,701,683,1656,654,904,175,154,11,5,711,366,161,252,219,151,226,224,288,jan-tratnik,https://www.procyclingstats.com/rider/jan-tratnik
192,Timo  Roosen ,Jumbo-Visma,11/01/1993,Netherlands,1.94,78,Tilburg,999,407,195,458,494,395,548,4,10,527,132,372,73,551,114,297,269,240,timo-roosen,https://www.procyclingstats.com/rider/timo-roosen
193,Olav  Kooij ,Jumbo-Visma,17/10/2001,Netherlands,1.84,72,Numansdorp,443,305,0,1163,158,33,48,15,94,105,970,34,246,225,123,282,0,0,olav-kooij,https://www.procyclingstats.com/rider/olav-kooij
194,Koen  Bouwman ,Jumbo-Visma,02/12/1993,Netherlands,1.78,60,Ulft,123,649,387,65,682,140,176,4,2,848,429,137,250,220,43,585,158,398,koen-bouwman,https://www.procyclingstats.com/rider/koen-bouwman
195,Attila  Valter ,Jumbo-Visma,12/06/1998,Hungary,1.85,65,Csömör,363,650,152,82,967,168,117,4,124,82,339,179,231,234,233,147,302,205,attila-valter,https://www.procyclingstats.com/rider/attila-valter
196,Tobias  Foss ,Jumbo-Visma,25/05/1997,Norway,1.84,74,Vingrom,95,507,1094,26,458,117,111,4,85,116,460,124,341,155,81,380,85,677,tobias-foss,https://www.procyclingstats.com/rider/tobias-foss
197,Edoardo  Affini ,Jumbo-Visma,24/06/1996,Italy,1.92,80,Mantua,78,167,1209,158,58,350,343,2,5,712,154,340,284,193,43,586,268,244,edoardo-affini,https://www.procyclingstats.com/rider/edoardo-affini
198,Nathan Van Hooydonck ,Jumbo-Visma,12/10/1995,Belgium,1.93,78,Gooreind,381,281,297,150,53,305,303,0,90,110,105,444,143,354,32,701,121,501,nathan-van-hooydonck,https://www.procyclingstats.com/rider/nathan-van-hooydonck
199,Lennard  Hofstede ,Jumbo-Visma,29/12/1994,Netherlands,1.86,73,Poeldijk,85,295,71,99,80,1300,0,0,15,414,0,0,35,820,35,662,51,907,lennard-hofstede,https://www.procyclingstats.com/rider/lennard-hofstede
200,Mick van Dijke ,Jumbo-Visma,15/03/2000,Netherlands,1.9,74,Colijnsplaat,53,242,162,141,86,301,349,0,0,0,193,294,156,334,24,816,0,0,mick-van-dijke,https://www.procyclingstats.com/rider/mick-van-dijke
201,Gijs  Leemreize ,Jumbo-Visma,23/10/1999,Netherlands,1.9,74,Ruurlo,15,175,38,9,376,263,415,0,0,0,239,249,79,529,10,1114,0,0,gijs-leemreize,https://www.procyclingstats.com/rider/gijs-leemreize
202,Thomas  Gloag ,Jumbo-Visma,13/09/2001,Great Britain,1.75,60,East Dulwich,53,97,0,4,217,359,352,0,91,109,63,633,33,842,0,0,0,0,thomas-gloag,https://www.procyclingstats.com/rider/thomas-gloag
203,Tim van Dijke ,Jumbo-Visma,15/03/2000,Netherlands,1.9,74,Goes,28,24,141,86,14,731,1063,2,10,540,43,803,40,777,6,1282,0,0,tim-van-dijke,https://www.procyclingstats.com/rider/tim-van-dijke
204,Michel  Hessmann ,Jumbo-Visma,06/04/2001,Germany,1.9,78,Münster,22,47,45,11,41,665,382,0,10,524,51,719,18,1115,2,1580,0,0,michel-hessmann,https://www.procyclingstats.com/rider/michel-hessmann
205,Milan  Vader ,Jumbo-Visma,18/02/1996,Netherlands,1.73,63,Middelburg,10,10,1,3,40,1220,1232,0,18,364,5,1794,0,0,0,0,0,0,milan-vader,https://www.procyclingstats.com/rider/milan-vader
206,José Joaquín  Rojas ,Movistar Team,08/06/1985,Spain,1.77,70,Cieza,2945,1971,129,4528,3624,374,559,10,59,162,84,530,108,440,81,374,282,223,jose-joaquin-rojas,https://www.procyclingstats.com/rider/jose-joaquin-rojas
207,Enric  Mas ,Movistar Team,07/01/1995,Spain,1.77,61,Artà,654,3321,562,56,4340,17,17,6,107,97,1248,15,1139,21,719,36,936,40,enric-mas,https://www.procyclingstats.com/rider/enric-mas
208,Fernando  Gaviria ,Movistar Team,19/08/1994,Colombia,1.8,71,La Ceja,1628,156,77,3938,1102,98,128,50,137,70,463,122,424,120,395,86,849,54,fernando-gaviria,https://www.procyclingstats.com/rider/fernando-gaviria
209,Gorka  Izagirre ,Movistar Team,07/10/1987,Spain,1.76,66,Ormaiztegi,1378,2286,758,268,2868,287,324,9,120,88,85,526,209,250,415,79,533,108,gorka-izagirre,https://www.procyclingstats.com/rider/gorka-izagirre
210,Nelson  Oliveira ,Movistar Team,06/03/1989,Portugal,1.8,67,Anadia,491,1061,3057,60,930,334,438,6,5,677,168,319,375,138,202,165,278,226,nelson-oliveira,https://www.procyclingstats.com/rider/nelson-oliveira
211,Ruben  Guerreiro ,Movistar Team,06/07/1994,Portugal,1.78,65,Montijo,597,1376,31,218,2002,64,68,5,204,26,550,87,303,176,262,134,413,150,ruben-guerreiro,https://www.procyclingstats.com/rider/ruben-guerreiro
212,Alex  Aranburu ,Movistar Team,19/09/1995,Spain,1.78,63,Ezkio-Itsaso,1027,538,200,344,1679,80,79,6,81,123,545,91,616,73,320,116,354,183,alex-aranburu,https://www.procyclingstats.com/rider/alex-aranburu
213,Imanol  Erviti ,Movistar Team,15/11/1983,Spain,1.89,82,Pamplona,744,921,437,232,446,848,1501,3,10,492,30,953,171,307,56,490,95,624,imanol-erviti,https://www.procyclingstats.com/rider/imanol-erviti
214,Iván  García Cortina ,Movistar Team,20/11/1995,Spain,1.83,77,Gijón,1304,258,110,794,996,83,64,3,70,142,551,86,317,168,202,168,512,120,ivan-garcia-cortina,https://www.procyclingstats.com/rider/ivan-garcia-cortina
215,Iván Ramiro  Sosa ,Movistar Team,31/10/1997,Colombia,1.68,58,Pasca,176,1372,1,7,988,144,169,17,0,0,526,98,201,265,74,407,551,103,ivan-ramiro-sosa,https://www.procyclingstats.com/rider/ivan-ramiro-sosa
216,Carlos  Verona ,Movistar Team,04/11/1992,Spain,1.86,68,San Lorenzo de El Escorial,452,1176,21,38,1120,145,227,1,59,163,467,118,121,399,202,167,150,415,carlos-verona,https://www.procyclingstats.com/rider/carlos-verona
